latitude,longitude,stake_weight,uuid,GDI
30.3,75.2,0.0016914413567038044,16Uiu2HAmKkZ9uRu8SnVEowLVVhX3r1gmVx4AyX3c1XgPV78zNRXq,0.0009844028939297682
30.3,120.2,0.00011580986958750524,16Uiu2HAmMggEZYEkumAdwmoGrLh5nXdzTGY6uReW9KWAzUc12CsM,0.0015559647141203288
30.4,-97.6,4.40900518734157e-05,16Uiu2HAm7ByVX2ugF4sXaKJmNzdgSvu1Yp4srYharNoDFxGevRhG,0.0013083809531963242
30.4,-91.2,1.4696683957805232e-05,16Uiu2HAkzDvuFDYc3WeomQubthy6XG13yMscoQvLV6Me14Kybjq8,0.0013469379432999122
30.4,-87.0,5.878673583122093e-05,16Uiu2HAmUQq5Kea2PKTQjHhj1Xvoq7TR4SMJz1VrG3AoEgPEgZMH,0.0013221500633165241
30.4,-84.3,0.0001763602074936628,16Uiu2HAm3ohJ6WwT44H7mE34bWcrf9CznAm7xxRZKReRhEtQtqaa,0.0012985510187450713
30.5,-97.8,0.00039151966063593143,16Uiu2HAmQ4MUs9Cuqy7PRTTQWZUAQ6HFEMmyTbsJM3qZiQeBYBJh,0.001298083942319644
30.7,-96.4,1.4696683957805232e-05,16Uiu2HAkvJVMf6cQ8CQwTgoZMU3Ro1qeUq9kYG1Pp5QNbVvjv4RK,0.0013063906750497222
30.7,-88.0,2.9393367915610465e-05,16Uiu2HAmLMugmSYTgVkb1JSQt6ep2Tj4nnMPRmqNnS5U4CKBXDxK,0.0013199187040796468
30.7,-81.5,1.4696683957805232e-05,16Uiu2HAmH4bUDyKmLM5U86ZFa66j5cjJyJaPyMQVVjDwQ5FSQ2Wf,0.0012744387126576342
30.7,104.1,8.23014301637093e-05,16Uiu2HAmMxQ1or8ZinXJsFPZjJZiTz3y43uwC1mH4uzQhqy339L5,0.0012202180394301988
30.8,120.8,1.4696683957805232e-05,16Uiu2HAmUrWuwSZC99Y9KQArTEsigKJo1kexWE7yuDrF8oXNz9QP,0.0016005315904400355
30.9,-97.0,2.9393367915610465e-05,16Uiu2HAm1Jn6dgAY3hv33FSdA54AjjPsG6ociX86XXkXiLSY9KfK,0.0013023521730534614
31.1,-97.4,1.1169479807931976e-05,16Uiu2HAm6KbSx7D5XFLK4PKDVKoLhz69emqiHntRckB9dR5qSY9y,0.001278404168328592
31.1,-85.6,1.4696683957805232e-05,16Uiu2HAmGyZSAGhLXCRKVUzLgo5vkLqpDneBmqWheXMM2XwweVL5,0.001294532158680156
31.2,121.5,0.000637689116929169,16Uiu2HAkyZA9H4nQhjBqypYSsgxP7dveUDLisZpCSU28LN8jJp5L,0.0016628500721813377
31.7,34.6,4.232644979847907e-05,16Uiu2HAmDfgGeKsuxNt9CjFYzBvoCXJo9cdGgXkVi13XW7NzoU4f,0.0007073826532088894
31.8,-106.4,8.81801037468314e-05,16Uiu2HAmGZj7XHGbf9knJ5abuhHLY2KcHWz1ExVJMFMWDXehpH6V,0.0011926526799280043
31.9,-116.6,1.4696683957805232e-05,16Uiu2HAmGp9y9wRc6P5aYJNY4AXbMs8m7mzfk5S8W8yYsLzbcN6o,0.0011162711322463647
