10km,15km,20km,25km,30km
4314394.508742879,5101569.919281505,2877158.6835424076,2324257.0012927274,1031438.5845637416
3581233.19564864,2771867.568793547,4714887.786481928,1974770.9395824824,3627158.101422362
3598850.6082938095,3078209.487435937,4753692.937922752,2331121.780073958,3664931.0104079535
3639038.0001741596,1782203.2216079058,2625844.342808551,3916929.2925797203,2085927.5983750878
3657078.6975117675,4854589.4046285255,2819144.316323718,2329054.435571775,3586793.5982888183
4322342.345742725,5023983.9800341865,4679335.697178599,1438162.798967895,1831230.8226767967
4318457.928944331,5110770.568926109,4706961.000648628,2070829.6086714647,1899279.5004487354
4220127.5980147645,4992864.970788868,4731766.2484659515,2050238.7769329583,2087001.1566195248
3554064.6834590524,2618514.8139178352,2590912.356712976,2229268.275695244,1232140.1652352645
3620730.867544451,2516748.6252265866,2828991.547700991,1162390.9414240743,3637767.06883423
3629604.0373070855,3125612.358834216,2758454.9494231483,1161177.7121703357,3718914.321310119
3638628.152385187,3174620.4589778217,2747002.766261878,2247375.4652883336,2103314.5987638207
4304269.577149973,5075193.739159321,2842427.072351301,3891345.8287875014,2080507.6812145994
4298774.719530381,5134061.898066847,2823467.424701396,3905568.9190079332,2687864.4459525617
4210829.58758146,2878087.526815193,2742598.2488625417,1986026.1576519483,1833448.5613266686
3535532.4982009404,3109511.0333542014,2786896.6147537376,2315082.179293814,2015697.6602850682
3575556.0239263345,5039091.521835424,4721082.294912389,2064771.8136262712,960233.4136336859
3602381.658317151,5066597.020900496,2824322.6182732717,2313830.3204281493,1163267.4620151657
3624855.3886757935,5101455.842283606,2822215.2973891655,1119565.0327105427,1849291.8271476126
3633999.207806331,2829180.312895194,2739590.0702243564,3921143.2935945443,2112273.011223624
3643231.6640798585,3123232.0068368106,1405882.4007180901,3959313.197782887,1377120.1970788282
4281184.543543333,3046378.174252079,4593342.008391502,2071531.0487559608,1795227.8779653246
4168585.973867992,3031867.632873113,4695280.399103602,2300262.419137273,2034497.3183463078
